Video_Image,Video_Author,Video_ID,Video_title,Video_Skill
https://i.ytimg.com/vi/N_SR8Sogse0/mqdefault.jpg,FocusWith Tokas,N_SR8Sogse0,"Body Language Tip - Presentation skills, Public Speaking Hindi",Presentation_Skills
https://i.ytimg.com/vi/NYVHnJlnND8/mqdefault.jpg,Power Presentations,NYVHnJlnND8,Presentation Skills Training: How to Create Effective Presentations with High Impact Introductions,Presentation_Skills
https://i.ytimg.com/vi/9_UGQYYSXQY/mqdefault.jpg,Carl Kwan,9_UGQYYSXQY,"""Presentation Skills"" How to introduce your team (CC)",Presentation_Skills
https://i.ytimg.com/vi/gqQkjYl9Dhc/mqdefault.jpg,BananaManaTV,gqQkjYl9Dhc,Ep 1. How to Prepare a Presentation - Presentation Skills - Public Speaking,Presentation_Skills
https://i.ytimg.com/vi/E3DujJ2PuEk/mqdefault.jpg,Victor Antonio,E3DujJ2PuEk,Presentation Skill - How to Present with Confidence,Presentation_Skills
https://i.ytimg.com/vi/lUTG-i4oQ10/mqdefault.jpg,Liam Lusk,lUTG-i4oQ10,Presentation Skills: 3 Effective Ways To End A Presentation,Presentation_Skills
https://i.ytimg.com/vi/S5c1susCPAE/mqdefault.jpg,Hussain Shafei,S5c1susCPAE,Presentation Good/Bad Examples,Presentation_Skills
https://i.ytimg.com/vi/_r8vikd7hhg/mqdefault.jpg,Good Vibrations Agency,_r8vikd7hhg,How to improve your presentation skills and powerpoint presentation,Presentation_Skills
https://i.ytimg.com/vi/_3fz0eiBGvA/mqdefault.jpg,Harvard Extension School,_3fz0eiBGvA,How to Overcome the Fear of Public Speaking: 3 Tips,Public_Speaking
https://i.ytimg.com/vi/qX-MaH2Jrq4/mqdefault.jpg,Brian Tracy,qX-MaH2Jrq4,How to Overcome Your Fear of Public Speaking,Public_Speaking
https://i.ytimg.com/vi/OncUwIoBbMc/mqdefault.jpg,Howcast,OncUwIoBbMc,How to Speak with Confidence | Public Speaking,Public_Speaking
https://i.ytimg.com/vi/ZK3jSXYBNak/mqdefault.jpg,Business Insider,ZK3jSXYBNak,4 essential body language tips from a world champion public speaker,Public_Speaking
https://i.ytimg.com/vi/YwdBoT-ZfdM/mqdefault.jpg,Howcast,YwdBoT-ZfdM,How to Open a Speech | Public Speaking,Public_Speaking
https://i.ytimg.com/vi/NVFtWOKQXyo/mqdefault.jpg,Tom Woods,NVFtWOKQXyo,Learn how to overcome the Fear of Public Speaking: 8 tips,Public_Speaking
https://i.ytimg.com/vi/79vuXNPO2Y0/mqdefault.jpg,Howcast,79vuXNPO2Y0,How to Prepare for a Speech | Public Speaking,Public_Speaking
https://i.ytimg.com/vi/BVIWqp7I6bE/mqdefault.jpg,Rule The Room Public Speaking,BVIWqp7I6bE,Public Speaking Tips - Overcome Your Fear,Public_Speaking
https://i.ytimg.com/vi/WkS67oiei78/mqdefault.jpg,Brian Tracy,WkS67oiei78,Public Speaking Tip  The Power of the Pause,Public_Speaking
https://i.ytimg.com/vi/WvT9WjSlk8E/mqdefault.jpg,Howcast,WvT9WjSlk8E,How to Use Humor in a Speech | Public Speaking,Public_Speaking
https://i.ytimg.com/vi/S_-HB9A6uhM/mqdefault.jpg,BuzzFeedViolet,S_-HB9A6uhM,When You're Afraid Of Public Speaking,Public_Speaking
https://i.ytimg.com/vi/wkjNIsyLnPo/mqdefault.jpg,Jill Schiefelbein,wkjNIsyLnPo,"How to Be a Good Public Speaker: The Three ""Cs"" of Speaking",Public_Speaking
https://i.ytimg.com/vi/XK1ULxSIo-k/mqdefault.jpg,Howcast,XK1ULxSIo-k,How to Speak in Front of a Big Crowd | Public Speaking,Public_Speaking
https://i.ytimg.com/vi/jgGdKAnK5vY/mqdefault.jpg,Dan Howden - ABC Speaking Skills,jgGdKAnK5vY,Public Speaking Tips- Posture - How To Stand -ABC-Speaking-Skills-Dan-HD-720p,Public_Speaking
https://i.ytimg.com/vi/IAz-grHMhTE/mqdefault.jpg,expertvillage,IAz-grHMhTE,Online Public Speaking Workshop : How to Use Hand Gestures in Public Speaking,Public_Speaking
